country,description,designation,points,price,province,region_1,region_2,variety,winery
Italy,"Red berry, rose, iris, aniseed and forest floor aromas lead the nose on this structured red. The full-bodied palate offers juicy wild cherry, crushed raspberry, coffee, white pepper and cinnamon framed in firm, fine-grained tannins that lend elegance and structure.",Sarmassa,93,110.0,Piedmont,Barolo,,Nebbiolo,Marchesi di Barolo
US,"The Sugarloaf vineyard, a new site in the western Yakima Valley, is the grape source. This has a substantial mouthfeel, a mix of toast and cracker, berry and plum, with a kick of spice in the nose and the finish.",,88,19.0,Washington,Rattlesnake Hills,Columbia Valley,Tempranillo,Wilridge
Italy,"Sedàra is a popular Sicilian red that is readily available around the world. This lively vintage shows bright berry tones, white almond and bright touches of cola and cassis. The mouthfeel is sharp, crisp and compact.",Sedàra,87,15.0,Sicily & Sardinia,Sicilia,,Red Blend,Donnafugata
Chile,"Heavy aromas of horse stable and compost give this wine a classic “barnyard” nose, and while it does settle somewhat it always maintains its bramble and tomato flavor profile. This is herbal, rough Shiraz and no matter the size or oak it's a tough trek.",Tribute,81,17.0,Colchagua Valley,,,Shiraz,Caliterra
US,"With bright kiwi, pineapple, lime zest, gooseberry and vanilla flavors, and a great big burst of acidity, this wine is just delicious to savor. It's dry and clean, with a long finish that reprises the fruit.",Taylor's Vineyard Musqué,89,25.0,California,Dry Creek Valley,Sonoma,Sauvignon Blanc,Dry Creek Vineyard
Portugal,"Wood-aged, this is a ripe-textured wine that has rich flavors of yellow and white fruits and toast. It has concentrated, intense fruit that bursts in the mouth. Delicious and impressive, this could be aged for another two years.",Morgado de Santa Catherina Reserva,91,25.0,Bucelas,,,Portuguese White,Companhia das Quintas
Argentina,"Jammy and generous smelling, with pastry and solid black-fruit aromas. Feels good and balanced for a young Malbec, with flavors of sweet plum, blackberry and a medicinal character. Plump and fruity on the finish, and steady wire to wire.",,88,13.0,Mendoza Province,Mendoza,,Malbec,Lexicon
Argentina,"Starts out with ripe dark-druit aromas, while pepper and charred beef come later. The palate is best up front, where black cherry and dark berry flavors attack well but lose steam fairly quickly. And the finish holds onto some buttery oak that one might rather not taste. But overall this is an easy 50-50 Argentine red blend.",Elementos,86,13.0,Other,San Juan,,Shiraz-Malbec,Bodegas Peñaflor
US,"This blend is principally Cabernet Sauvignon and Merlot with a pinch of Petit Verdot blended in. The barrel aromas (24 months in all-new French) stand out at first, with notes of chocolate, coffee and spice. The black-fruit flavors are full bodied and high-octane, showing some warmth on the finish. The oak needs more time to integrate.",La Contrada,90,55.0,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,Lachini
US,"A full-bodied explosion of hearty ripe fruit is the story in this soft, straightforwardly approachable and enjoyable wine. It's blended with 15% Merlot and 10% Cabernet Franc and aged in oak, giving it smokiness and a length of spice that opens in the glass.",Cellar Select Blend,92,65.0,California,Napa Valley,Napa,Cabernet Sauvignon,Joseph Cellars
US,"Not quite as good as the 2007 Les Collines from this producer, but perhaps it just needs more bottle age. Light spritz and flavors of berry punch, along with not-yet-integrated barrel toast. Give it another year to fill out.",Les Collines Vineyard,86,22.0,Washington,Walla Walla Valley (WA),Columbia Valley,Zinfandel,Angel Vine
Spain,"Stalky, medicinal, rubbery aromas announce an acidic Tempranillo-led blend that's downright astringent on the palate. Flavors of stalky fruit, buttery oak and sheer raspberry and plum end crisp and tight, with a salty flavor.",Barcolobo 12 Meses en Barrica,83,30.0,Northern Spain,Vino de la Tierra de Castilla y León,,Red Blend,Finca la Rinconada
US,"A little one-dimensional, but clean and crisp in acids, with the exotic floral and spice flavors the variety is noted for. Try with Asian fare.",,84,20.0,California,Santa Ynez Valley,Central Coast,Viognier,Curtis
Spain,"Very solid and sturdy, with aromas of apple, lemon-lime, soda cracker and mineral. The palate is fuller and more flavorful than your average cava, with candied apple, papaya, lime and lemon flavors. Dry, pithy and hinting at complexity on the finish.",Reserva Heredad,89,25.0,Catalonia,Cava,,Sparkling Blend,Segura Viudas
France,"Fresh citrus and peach juice flavors are light, certainly not concentrated, but the wine has some pear skin spice and toast. It has crispness, poise and balance, with a delicious finale of bright acidity. Imported by Boisset America.",Cuvée Signature,85,57.0,Burgundy,Meursault,,Chardonnay,Bouchard Aîné & Fils
Germany,"Whiffs of pine frond and moss lend a cool, alpine air to the nose of this medium-dry Riesling, but the palate is all lemon drops and sunshine. Juicy citrus flavor is uplifted by a stream of acidity that's invigoratingly fresh.",Kiedrich Turmberg Spätlese,92,92.0,Rheingau,,,Riesling,Robert Weil
US,"Pretty oaky, with vanilla, buttered toast and charred wood aromas and tastes dominating. Under that are grilled pineapples and peaches, balanced with fine, tart acids. A little off around the edges, but a promising Chardonnay grown in this coastal L.A. climate.",,87,25.0,California,Malibu-Newton Canyon,South Coast,Chardonnay,Rosenthal-Malibu Estate
Italy,"Peaches and flowers set the tone and offer a pretty balance of freshness and flavor. The wine has bright acidity with lingering minerals and a creamy, foamy finish. Bortolomiol is among Prosecco's most historic wineries and is run by five women today.",Prior Brut,87,15.0,Veneto,Prosecco di Valdobbiadene,,Prosecco,Bortolomiol
US,"Bone dry and tannic, this Merlot is a bit common, with herb, mint and tobacco flavors. But it shows real elegance of structure, and has a pleasant background of cherries and blackberries.",,86,16.0,California,Central Coast,Central Coast,Merlot,Acre
Australia,"This narrow, value-priced wine is unusual in its category because its dominating notes are earthy, woodsy ones, rather than forwardly fruity ones. Has edgy, wooly tannins that would make it a ready partner for some charbroiled meats. Imported by The Country Vintner.",,84,12.0,Western Australia,Margaret River,,Cabernet Sauvignon,Mandu
Austria,"This is a floral effort perfumed with apple blossom. The palate is rich and creamy, with intense acidity balanced by peach and pear flavors. It has a smooth finish. Screwcap.",Laurenz and Sophie Singing,87,16.0,Niederösterreich,,,Grüner Veltliner,Laurenz V.
New Zealand,"Tropical and stone-fruity on the nose, with follow-on flavors that are a bit soft and sweet (there's 7.8 g/L residual sugar). Well made and clean, it's more of a mass-market wine than the regular Woollaston Sauvignon.",Morgan Leigh,86,,Nelson,,,Sauvignon Blanc,Woollaston
France,"In the village of Soussans, and in the north of the Margaux appellation, this estate has a fine reputation for its wines. This vintage, with its great balance between fruit and tannins, shows why. It is a ripe wine full of black fruit and with the bright acidity of the vintage. Drink the wine from 2021.",,93,21.0,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château la Tour de Mons
Germany,"The nose lacks punch, offering only faint notes of melon and white flowers while the crisp, fairly dry palate sails by on fleeting notes of white raspberry and pomelo. Not one for aging.",Trocken,82,,Rheinhessen,,,Riesling,Weingut Liebfrauenstift
New Zealand,"Tart and crisp, this is a fairly “green” version, boasting plenty of gooseberry and jalapeño-pepper aromas and flavors. Residual sugar is just below the typical detection threshold of 5g/L; there's enough to add weight without making the wine seem sweet.",,86,10.0,Marlborough,,,Sauvignon Blanc,Coopers Creek
US,"This shows lots of finesse and control, despite its power. It has raspberry, cherry jam and Dr. Pepper flavors, plus a sweet coat of oak that adds vanilla and cinnamon spice notes. It can be consumed now, and it should develop in the bottle over 3–4 years.",Joh Sebastiano Vineyard,90,50.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Storm
Australia,"Surprisingly complete and harmonious for a Riesling in this price range, Wagtail's 2006 boasts opening scents of honey, ripe apples, citrus and crushed stone. Peach and citrus flavors dominate the palate, ending dry and stony. Drink now.",,87,10.0,South Australia,Adelaide Hills,,Riesling,Wagtail
Australia,"This a pretty good effort for the price, offering authentic Pinot Noir scents of ripe cherries, marked by hints of bacon and briar. It's plump and round in the mouth, just somewhat lacking in textural richness.",Single Vineyard,87,15.0,Western Australia,Pemberton,,Pinot Noir,Fonty's Pool
Spain,"Starts out a bit sweaty and leathery, but soon it turns more smoky. As a whole it's more bulky and barnyardy than most PX wines, with sweet prune and raisin flavors that seem a bit generic. Thick on the finish, with a gooey sweetness throughout.",Extra Rich,88,30.0,Andalucia,Jerez,,Pedro Ximénez,Pedro Romero
US,"Made in the slightly sweet, crisp style that's made this variety so popular in America, the wine has the flavors of pineapple juice, mixed with pears, limes and peaches.",,84,17.0,California,California,California Other,Pinot Grigio,Villa Toscano
US,"This wine fits the winery style like a comfy old shoe. It feels good, smells good and wears well. There is a nod to the grassy quality of the grape, but it's smoothed over with toasty cracker flavors and thicker seams of fig, melon and pear.",,88,14.0,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Waterbrook
Portugal,"Beautifully fresh wine that also has some weight to it. It is strung on a tightrope of crispness, balanced between white fruits and citrus. There is a great final mineral texture from the granite soils of the Minho.",,89,10.0,Vinho Verde,,,Portuguese White,Casa do Valle
US,"Good price for a Santa Rita Hills Pinot Noir this good. Shows lots of zippy acidity and is very dry, with complex layers of raspberries, cherries, Dr. Pepper cola and dusty spices. Drink now.",,90,24.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Ampelos
Austria,"Evoking green grape, peach, honeysuckle and ripe melon, this Muscat's aromatic profile is as enticing as ever, all wrapped in a slender, absolutely dry and light-footed package. Full of rich flavor without the attendant weight, it embodies the scent and joy of summer and finishes on a refreshing note of zesty lemon.",,91,24.0,Niederösterreich,,,Gelber Muskateller,Nigl
US,"Acidity makes the mouth water, tannins provide a firm framework, oak is perfectly integrated, and the depth of fruit is impressive. Shows flavors of cherry tart, raspberry Newton, cola, buttered cinnamon toast and vanilla that are magnificent and decadent. Elegant and classy. Should negotiate the years through 2014.",Ellenbach Vineyard,95,85.0,California,Sonoma Coast,Sonoma,Pinot Noir,Semper
Chile,"Here's a simple, standard Chardonnay that is more neutral than anything, but at this level that's really what one should expect. The palate is a touch chunky and warm, with flavors of melon and citrus. And the finish is citric, with a little sugar and also a spot of pithy bitterness.",Estate Selection,86,13.0,Curicó Valley,,,Chardonnay,Aresti
US,"At four-plus years, the wine is hanging in there, maintaining fruit and freshness and picking up some aged, dried pineapple and peach character. It's an interesting wine, picking up textural complexities, but needs to be drunk soon.",Reserve,90,28.0,California,Alexander Valley,Sonoma,Chardonnay,Mosaic
Italy,"Fondo Filara offers an authentic taste of Etna winemaking at a reasonable low price. Delicate tones of wild berry, cassis and almond paste characterize the bouquet. The mouthfeel, on the other hand, shows power, length, tightness and firm structure.",Fondo Filara,87,19.0,Sicily & Sardinia,Etna,,Red Blend,Nicosia
